"";"dist_paved";"dist_unpaved";"dist_rail";"dist_silos";"dist_protected";"dist_settlement";"pop_mean";"crop";"fl"
"1";1091,25107848973;592,695464241545;1522,68826148317;72088,9058610722;115826,596003549;3901,44484451786;0;"7";"3"
"2";2039,40757605106;909,727417831171;5059,81429169731;40119,3388455418;84029,7538673382;15416,7233932639;0;"2";"0"
"3";300,921926947038;1227,55425950445;390,220123119691;1459,33556688951;125628,108523255;4959,03927102963;0;"0";"0"
"4";1967,96596782751;2919,32888518114;191,574318074022;1501,10761094499;65033,2364650754;7611,71057329695;0;"7";"0"
"5";5473,33492206742;8173,18853456903;51997,4618981008;253647,093767621;16270,2122369493;10693,2598065913;0;"0";"0"
"6";3458,01297194459;193,002569957272;5621,47604502699;1295,21640848505;78897,22022097;5412,15473071822;0;"1";"0"
"7";12284,4862309894;3495,33714639256;21647,3488828028;42109,5765849737;26908,1189683159;24459,064478126;0;"7";"0"
"8";21169,0964589195;517,80718049272;55913,6167669869;4858,02148168306;19237,1960052989;52138,6157085849;0;"7";"3"
"9";2617,69491155654;507,903984122832;13542,027338146;36372,6332888622;38251,7438450357;2444,3844227434;0;"13";"3"
"10";14929,9805665605;1339,4463454712;16926,5840109946;7315,05072520508;136155,011148148;20869,288079728;0;"3";"0"
"11";7841,75851576066;1875,03767938164;29091,7542236883;7226,62320276546;83183,5083282343;28814,1473007199;0;"7";"0"
"12";20845,4916355747;4319,39542863255;22014,6305882006;5004,11211742598;60086,9051999919;15811,2468419074;0;"7";"3"
"13";3127,85181391545;648,586856546515;9645,62743905573;9776,21617556773;56502,1820684256;11827,1674406225;0;"7";"3"
"14";5336,41550351116;915,42190557695;39398,6756282306;572,243836819812;72589,1278355231;17648,3170234949;0;"0";"0"
"15";1048,15486298639;923,049269709824;986,286308035042;51467,1138623039;140357,989052719;9692,08309959498;0;"7";"0"
"16";9943,37824249756;37,0717145406599;30579,8701587289;3433,91202292887;81644,5279512925;28192,1726013033;0;"7";"3"
"17";3497,11782954913;2,24677727168511;44452,4655239808;4696,07244351471;93307,5594733355;5177,64477634218;0;"7";"0"
"18";2007,82144483595;119,796002334508;1455,40410536311;61301,2336533076;11018,6928259876;1356,90933523588;0;"13";"0"
"19";14600,6066971113;1948,60769613153;14555,5445935001;684,341588600341;15298,594652396;15226,3415462799;0;"1";"0"
"20";26,2544679200672;280,401140387559;34,649664119862;4187,88023771418;53118,3392418072;3803,9503101677;0;"7";"0"
"21";1891,06581908153;1856,26111798403;9799,03048032818;4279,31576442902;40768,1274038096;15168,018667857;0;"7";"3"
"22";593,416764348252;14811,677868145;399,42430059125;220023,059178438;102374,170857483;32756,9003800817;0;"0";"0"
"23";238,800340801451;2571,80189727642;298,181741169258;53049,0473135878;15860,8286478893;5363,46633312821;0;"0";"1"
"24";10929,2109995506;3578,45474816125;10839,1773015958;368,944782948567;146464,894000436;10698,8964903956;0;"0";"3"
"25";12842,001322278;5152,45885943843;39668,0719406273;9449,27754022147;1614,42087398484;26850,697098236;0;"7";"1"
"26";4101,56045201171;53,8475142853738;7731,76060439477;19608,1439397532;70550,9585935908;7422,56377672914;0;"7";"1"
"27";2354,96980898651;0,587158079674283;2313,4878023349;3638,6203034857;92710,2314877141;1974,54570209238;0;"7";"0"
"28";197,852900459201;340,89194314689;140,867795342728;1259,43189172669;163602,719976262;5895,21232404979;0;"7";"0"
"29";18471,1487132672;1553,10007057606;41222,0532488993;4562,68111909701;71257,270728591;42120,4766097657;0;"0";"0"
"30";3522,54299376588;1549,95371882531;24516,3246247419;20658,463319141;60722,9845676985;27326,3392545532;0;"1";"3"
"31";9279,19141566063;790,992742808599;25235,2168550268;2536,79810522477;59114,1567690941;14573,2210653699;0;"7";"3"
"32";703,788955528556;987,007006138413;15645,0387172957;28802,6797808014;37512,9647712469;6596,0789329088;0;"13";"0"
"33";320,452380693327;150,124581103059;12883,3964155602;41241,4183861748;33262,575480925;931,486530783887;0;"13";"0"
"34";4405,36857008643;1837,9719071663;38338,8508287271;12772,3009087654;8616,43007847593;40519,7615204394;0;"1";"0"
"35";3584,35229379339;437,17917633785;8531,18280486787;100067,849008402;83258,2229657579;10620,3540112056;0;"7";"3"
"36";2010,02752835959;2952,81422542606;25223,4915142696;1385,85468893274;51197,8500018108;46694,8839227436;0;"1";"0"
"37";8662,99031440338;1215,63259272585;8527,35441350058;7242,69079818587;64288,015121878;11606,559353193;0;"7";"2"
"38";1691,08426171958;121,864647690198;3205,12545446477;30912,5351523887;34664,2587127286;4551,18145051283;0;"13";"0"
"39";5146,47806223293;378,436989944362;26114,8463744019;43697,9872940335;24188,7763684343;28501,182804148;0;"7";"0"
"40";1496,51205603788;1459,9156050099;24556,6440899049;3071,91401773425;140882,589310917;36998,9091328556;0;"0";"2"
"41";3712,18347166743;1545,03629180249;3580,70795339548;411695,98147582;129635,957177334;9758,06610003569;0;"0";"0"
"42";6591,97899271532;1672,62886541909;15576,2487309069;52343,1539643049;64359,0039945805;18466,779091301;0;"1";"0"
"43";2610,59825338418;544,946034742331;2716,04413622239;3236,87477682991;140273,922494942;10303,9617534128;0;"1";"0"
"44";4175,68855521856;990,788333894116;4353,83967022258;1611,72372550993;94331,0454392255;6156,68732392359;0;"7";"0"
"45";2778,67940402179;1019,3226883306;23170,2432582635;3775,98255917521;82572,7578989292;8056,45655420085;0;"1";"0"
"46";466,292268171644;377,506155545307;29517,8205456098;41695,6573366919;103987,49754239;29141,9727026155;0;"7";"3"
"47";321,187406970673;310,903132046124;2942,19905691502;71962,8132002494;12867,5321820474;1562,47782990347;25,0720348358154;"7";"0"
"48";1692,1212221809;2320,72004397481;1676,92784932832;119894,275634193;43320,0271077962;2584,48924478611;0;"0";"1"
"49";583,574485370102;429,039027228275;8122,60948635596;31480,622661029;41250,2528715771;4663,24357683366;0;"13";"0"
"50";642,440974017175;211,718470113827;14199,3608081348;34548,0951599352;35861,2032411164;6407,10048432807;0;"13";"0"
"51";1256,47985418396;891,846675284634;548,566301438019;47791,2754454594;141581,171873474;5296,950028893;0;"7";"0"
"52";1365,78425957408;3203,99640093806;26563,1690250583;61280,8889888267;5856,24055756391;4906,44824598875;0;"0";"0"
"53";3666,52849968903;1114,61885510021;9044,35899020343;108115,424083994;65304,9116485022;9647,04050949753;0;"2";"3"
