"";"unpaved";"paved";"rail";"silos";"fridge";"settlement";"protected_area";"pop_mean";"lc";"crop";"fl";"agri_count";"past_count";"total_count"
"1";0;0;0;0;0;0;0;0,0001172793861616;"0";"0";"0";0;0;0
"2";0;0;0;0;0;0;0;9,25594537290823e-05;"0";"0";"0";0;0;0
"3";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"4";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"5";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"6";0;0;0;0;0;0;0;6,78288204510676e-05;"0";"0";"0";0;0;0
"7";0;0;0;0;0;0;0;7,09258107758889e-05;"0";"0";"0";0;0;0
"8";0;0;0;0;0;0;0;0,000117176570983111;"0";"0";"0";0;0;0
"9";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"10";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"11";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"12";0;0;0;0;0;0;0;4,39511609842888e-05;"0";"0";"0";0;0;0
"13";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"14";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"15";0;0;0;0;0;0;0;0,00041091705687814;"0";"0";"0";0;0;0
"16";0;0;0;0;0;0;0;0,00039292337022961;"0";"0";"0";0;0;0
"17";0;3863,31384592345;0;0;0;0;0;0,00222370892059386;"0";"0";"0";0;0;0
"18";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"19";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"20";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"21";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"22";5010,63032999392;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"23";11245,1151856915;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"24";9535,21692589247;13617,4630083004;0;0;0;0;0;0;"0";"0";"0";0;0;0
"25";0;1438,6762842311;0;0;0;0;0;0;"0";"0";"0";0;0;0
"26";0;0;0;0;0;0;0;2,74525705539404e-05;"0";"0";"0";0;0;0
"27";0;0;0;0;0;0;0;1,20865692706794e-05;"0";"0";"0";0;0;0
"28";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"29";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"30";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"31";0;11686,3706907151;0;0;0;0;0;8,27934679699057e-06;"0";"0";"0";0;0;0
"32";0;11029,7801943653;0;0;0;0;0;0;"0";"0";"0";0;0;0
"33";0;16194,1768372861;0;0;0;0;0;0,00252807075034563;"0";"0";"0";0;0;0
"34";0;0;0;0;0;0;0;0,000359715831831357;"0";"0";"0";0;0;0
"35";0;0;0;0;0;0;24330587,0828697;0;"0";"0";"0";0;0;0
"36";0;0;0;0;0;0;20382263,6097868;0;"0";"0";"0";0;0;0
"37";0;0;0;0;0;0;2094345,83834352;0;"0";"0";"0";0;0;0
"38";0;0;0;0;0;0;150331,307095729;7,86281180107731e-05;"0";"0";"0";0;0;0
"39";0;0;0;0;0;0;1604204,63983413;0,00667766996903106;"0";"0";"0";0;0;0
"40";1594,41272332722;0;0;0;0;0;18205532,5836244;0,00440609410182553;"0";"0";"0";0;0;0
"41";0;0;0;0;0;0;359005,563323095;0;"0";"0";"0";0;0;0
"42";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"43";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"44";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"45";0;0;0;0;0;0;0;0,000117218120239352;"0";"0";"0";0;0;0
"46";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"47";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"48";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"49";1663,35276063469;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"50";0;10735,6291142648;0;0;0;0;0;0,000228771427687452;"0";"0";"0";0;0;0
"51";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"52";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"53";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"54";0;0;0;0;0;0;0;0,000244097341189745;"0";"0";"0";0;0;0
"55";0;4672,21085013267;0;0;0;0;0;8,4972244569625e-05;"0";"0";"0";0;0;0
"56";0;12181,2657510279;0;0;0;0;0;3,86667465813558e-05;"0";"0";"0";0;0;0
"57";0;0;0;0;0;0;0;0,000239011671832185;"0";"0";"0";0;0;0
"58";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"59";0;0;0;0;0;0;0;0;"0";"0";"0";0;0;0
"60";0;0;0;0;0;0;4897810,65200114;0;"0";"0";"0";0;0;0
"61";0;0;0;0;0;0;76217235,5234514;0;"0";"0";"0";0;0;0
